14.02 07:00:12 STATS: vdl.0 cache connection, 628 calls, total 0.546590805053711 sec spent, avg 0.87 ms
14.02 07:00:49 STATS: vdl.0 cache, locks:2
14.02 07:01:49 STATS: vdl.0 cache, locks:0
14.02 07:02:49 STATS: vdl.0 cache, locks:0
14.02 07:03:49 STATS: vdl.0 cache, locks:0
14.02 07:04:49 STATS: vdl.0 cache, locks:0
14.02 07:05:49 STATS: vdl.0 cache, locks:0
14.02 07:06:49 STATS: vdl.0 cache, locks:0
14.02 07:07:49 STATS: vdl.0 cache, locks:0
14.02 07:08:49 STATS: vdl.0 cache, locks:0
14.02 07:09:49 STATS: vdl.0 cache, locks:0
14.02 07:10:49 STATS: vdl.0 cache, locks:0
14.02 07:11:49 STATS: vdl.0 cache, locks:0
14.02 07:12:49 STATS: vdl.0 cache, locks:0
14.02 07:13:49 STATS: vdl.0 cache, locks:0
14.02 07:14:49 STATS: vdl.0 cache, locks:0
14.02 07:15:49 STATS: vdl.0 cache, locks:0
14.02 07:16:49 STATS: vdl.0 cache, locks:0
14.02 07:17:49 STATS: vdl.0 cache, locks:0
14.02 07:18:49 STATS: vdl.0 cache, locks:0
14.02 07:19:49 STATS: vdl.0 cache, locks:0
14.02 07:20:49 STATS: vdl.0 cache, locks:0
14.02 07:21:49 STATS: vdl.0 cache, locks:0
14.02 07:22:49 STATS: vdl.0 cache, locks:0
14.02 07:23:49 STATS: vdl.0 cache, locks:0
14.02 07:24:49 STATS: vdl.0 cache, locks:0
14.02 07:25:50 STATS: vdl.0 cache, locks:0
14.02 07:26:50 STATS: vdl.0 cache, locks:0
14.02 07:27:50 STATS: vdl.0 cache, locks:0
14.02 07:28:50 STATS: vdl.0 cache, locks:0
14.02 07:29:50 STATS: vdl.0 cache, locks:0
14.02 07:30:50 STATS: vdl.0 cache, locks:0
14.02 07:31:50 STATS: vdl.0 cache, locks:0
14.02 07:32:50 STATS: vdl.0 cache, locks:0
14.02 07:33:50 STATS: vdl.0 cache, locks:0
14.02 07:34:50 STATS: vdl.0 cache, locks:0
14.02 07:35:50 STATS: vdl.0 cache, locks:0
14.02 07:36:50 STATS: vdl.0 cache, locks:0
14.02 07:37:50 STATS: vdl.0 cache, locks:0
14.02 07:38:50 STATS: vdl.0 cache, locks:0
14.02 07:39:50 STATS: vdl.0 cache, locks:0
14.02 07:40:50 STATS: vdl.0 cache, locks:0
14.02 07:41:50 STATS: vdl.0 cache, locks:0
14.02 07:42:50 STATS: vdl.0 cache, locks:0
14.02 07:43:50 STATS: vdl.0 cache, locks:0
14.02 07:44:50 STATS: vdl.0 cache, locks:0
14.02 07:45:50 STATS: vdl.0 cache, locks:0
14.02 07:46:50 STATS: vdl.0 cache, locks:0
14.02 07:47:50 STATS: vdl.0 cache, locks:0
14.02 07:48:50 STATS: vdl.0 cache, locks:0
14.02 07:49:50 STATS: vdl.0 cache, locks:0
14.02 07:50:50 STATS: vdl.0 cache, locks:0
14.02 07:51:50 STATS: vdl.0 cache, locks:0
14.02 07:52:50 STATS: vdl.0 cache, locks:0
14.02 07:53:50 STATS: vdl.0 cache, locks:0
14.02 07:54:50 STATS: vdl.0 cache, locks:0
14.02 07:55:50 STATS: vdl.0 cache, locks:0
14.02 07:56:50 STATS: vdl.0 cache, locks:0
14.02 07:57:50 STATS: vdl.0 cache, locks:0
14.02 07:58:50 STATS: vdl.0 cache, locks:0
14.02 07:59:50 STATS: vdl.0 cache, locks:0
