04.11 05:00:05 STATS: vdl.0 cache, locks:0
04.11 05:01:05 STATS: vdl.0 cache, locks:0
04.11 05:02:05 STATS: vdl.0 cache, locks:0
04.11 05:03:05 STATS: vdl.0 cache, locks:0
04.11 05:04:05 STATS: vdl.0 cache, locks:0
04.11 05:05:05 STATS: vdl.0 cache, locks:0
04.11 05:06:05 STATS: vdl.0 cache, locks:0
04.11 05:07:05 STATS: vdl.0 cache, locks:0
04.11 05:08:05 STATS: vdl.0 cache, locks:0
04.11 05:09:05 STATS: vdl.0 cache, locks:0
04.11 05:10:05 STATS: vdl.0 cache, locks:0
04.11 05:11:05 STATS: vdl.0 cache, locks:0
04.11 05:12:05 STATS: vdl.0 cache, locks:0
04.11 05:13:05 STATS: vdl.0 cache, locks:0
04.11 05:14:05 STATS: vdl.0 cache, locks:0
04.11 05:15:05 STATS: vdl.0 cache, locks:0
04.11 05:16:05 STATS: vdl.0 cache, locks:0
04.11 05:17:05 STATS: vdl.0 cache, locks:0
04.11 05:18:05 STATS: vdl.0 cache, locks:0
04.11 05:19:05 STATS: vdl.0 cache, locks:0
04.11 05:20:05 STATS: vdl.0 cache, locks:0
04.11 05:21:05 STATS: vdl.0 cache, locks:0
04.11 05:21:50 STATS: vdl.0 cache connection, 219 calls, total 0.523036956787109 sec spent, avg 2.39 ms
04.11 05:22:05 STATS: vdl.0 cache, locks:2
04.11 05:23:05 STATS: vdl.0 cache, locks:2
04.11 05:24:05 STATS: vdl.0 cache, locks:2
04.11 05:24:28 STATS: vdl.0 cache connection, 225 calls, total 0.530028343200684 sec spent, avg 2.36 ms
04.11 05:25:05 STATS: vdl.0 cache, locks:0
04.11 05:26:05 STATS: vdl.0 cache, locks:0
04.11 05:27:05 STATS: vdl.0 cache, locks:0
04.11 05:28:05 STATS: vdl.0 cache, locks:0
04.11 05:29:05 STATS: vdl.0 cache, locks:0
04.11 05:30:05 STATS: vdl.0 cache, locks:0
04.11 05:31:05 STATS: vdl.0 cache, locks:0
04.11 05:32:05 STATS: vdl.0 cache, locks:0
04.11 05:33:05 STATS: vdl.0 cache, locks:0
04.11 05:34:05 STATS: vdl.0 cache, locks:0
04.11 05:35:05 STATS: vdl.0 cache, locks:0
04.11 05:36:05 STATS: vdl.0 cache, locks:0
04.11 05:37:05 STATS: vdl.0 cache, locks:0
04.11 05:38:05 STATS: vdl.0 cache, locks:0
04.11 05:39:05 STATS: vdl.0 cache, locks:0
04.11 05:40:05 STATS: vdl.0 cache, locks:0
04.11 05:41:05 STATS: vdl.0 cache, locks:0
04.11 05:42:05 STATS: vdl.0 cache, locks:0
04.11 05:43:05 STATS: vdl.0 cache, locks:0
04.11 05:44:05 STATS: vdl.0 cache, locks:0
04.11 05:45:05 STATS: vdl.0 cache, locks:0
04.11 05:46:05 STATS: vdl.0 cache, locks:0
04.11 05:47:05 STATS: vdl.0 cache, locks:0
04.11 05:48:05 STATS: vdl.0 cache, locks:0
04.11 05:49:05 STATS: vdl.0 cache, locks:0
04.11 05:50:05 STATS: vdl.0 cache, locks:0
04.11 05:51:05 STATS: vdl.0 cache, locks:0
04.11 05:52:05 STATS: vdl.0 cache, locks:0
04.11 05:53:05 STATS: vdl.0 cache, locks:0
04.11 05:54:05 STATS: vdl.0 cache, locks:0
04.11 05:55:05 STATS: vdl.0 cache, locks:0
04.11 05:56:05 STATS: vdl.0 cache, locks:0
04.11 05:57:05 STATS: vdl.0 cache, locks:0
04.11 05:58:05 STATS: vdl.0 cache, locks:0
04.11 05:59:05 STATS: vdl.0 cache, locks:0
